user_profile_id,music_envy_today,feeling,music_preference,music_style_preference,music_reason,listening_context,current_music_type,usual_listening_mode,likes_discovery,attend_live_concert,repeat_listening,explicit_ok,avg_song_length,avg_daily_listen_time
14,"['Énergique et intense', 'Concentration / flow', 'Calme et doux']",1,1,1,"['Détente', 'Concentration']","['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",1,1,2,1,3,0,4.5,150.0
15,"['Énergique et intense', 'Concentration / flow', 'Positif et enjoué']",1,0,1,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Jeu vidéo', 'Soirée entre amis']",3,1,2,2,3,0,4.5,45.0
16,"['Pour bouger', 'Concentration / flow', 'Mélancolique']",1,2,2,"['Motivation', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Soirée entre amis']",1,1,2,1,2,1,2.0,150.0
17,"['Énergique et intense', 'Positif et enjoué', 'Pour bouger']",1,2,0,"['Détente', 'Concentration']","['Détente', 'Travail / études', 'Jeu vidéo']",3,1,3,2,3,2,4.5,45.0
18,"['Calme et doux', 'Mélancolique', 'Positif et enjoué']",0,0,2,"['Concentration', 'Détente']","['Travail / études', 'Trajet', 'Avant de dormir et pendant les tâches ménagères']",0,1,3,3,3,0,4.5,240.0
19,"['Calme et doux', 'Énergique et intense', 'Concentration / flow']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Trajet', 'Travail / études', 'Détente', ""Moment dédié à l'écoute de la musique""]",3,1,3,3,3,1,4.5,240.0
20,"['Concentration / flow', 'Positif et enjoué']",1,2,2,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente']",1,1,3,1,3,-1,4.5,150.0
21,"['Positif et enjoué', 'Calme et doux', 'Énergique et intense']",1,2,1,['Motivation'],"['Trajet', 'Détente']",3,1,1,1,3,-1,2.0,45.0
22,"['Énergique et intense', 'Calme et doux', 'Concentration / flow']",1,2,1,"['Détente', 'Concentration', 'Motivation']","['Jeu vidéo', 'Trajet', 'Travail / études', 'Détente']",1,1,2,2,3,2,2.0,240.0
23,"['Énergique et intense', 'Pour bouger', 'Concentration / flow']",2,2,1,"['Motivation', 'Danse', 'Concentration']","['Travail / études', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",3,1,3,3,3,2,2.0,150.0
24,"['Calme et doux', 'Concentration / flow', 'Festif / soirée']",0,2,2,"['Concentration', 'Danse', 'Détente']","['Travail / études', 'Trajet', 'Jeu vidéo']",1,1,2,3,3,0,4.5,240.0
25,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Détente', 'Trajet']",3,1,2,1,2,2,2.0,240.0
26,"['Énergique et intense', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Détente', 'Jeu vidéo', 'Lecture / écriture']",1,1,3,3,3,2,4.5,150.0
27,"['Calme et doux', 'Mélancolique', 'Énergique et intense']",1,2,2,"['Concentration', 'Détente', 'Motivation']","['Travail / études', 'Détente', 'Jeu vidéo', 'Trajet']",2,1,2,2,2,-1,4.5,240.0
28,"['Positif et enjoué', 'Énergique et intense', 'Concentration / flow']",0,0,1,"['Détente', 'Concentration', 'Danse']","['Travail / études', 'Trajet', 'Jeu vidéo', 'Lecture / écriture']",3,1,3,1,3,1,4.5,240.0
29,"['Mélancolique', 'Concentration / flow', 'Calme et doux']",1,0,0,"['Détente', 'Concentration']","['Détente', 'Travail / études', 'Soirée entre amis', 'Trajet']",1,1,2,0,3,1,2.0,150.0
30,"['Calme et doux', 'Pour bouger', 'Énergique et intense']",1,0,2,"['Concentration', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Jeu vidéo']",1,1,2,1,3,2,4.5,150.0
31,"['Calme et doux', 'Mélancolique', 'Positif et enjoué']",0,0,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente', 'Soirée entre amis']",2,1,2,1,2,0,2.0,150.0
32,"['Pour bouger', 'Mélancolique', 'Positif et enjoué']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Détente', 'Soirée entre amis']",1,1,3,1,2,0,2.0,150.0
33,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,0,2,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Détente', 'Tâche ménagère ou cuisine']",3,1,2,2,3,2,2.0,45.0
34,"['Positif et enjoué', 'Concentration / flow', 'Calme et doux']",1,0,2,"['Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Lecture / écriture']",1,1,3,1,3,1,4.5,240.0
35,"['Festif / soirée', 'Positif et enjoué', 'Mélancolique']",2,2,0,"['Détente', 'Motivation', 'Concentration']","['Trajet', 'Détente', 'Lecture / écriture']",3,1,3,1,3,0,4.5,30.0
36,"['Positif et enjoué', 'Énergique et intense']",2,0,2,['Motivation'],"['Détente', 'Lecture / écriture', 'Trajet']",3,2,2,3,3,0,4.5,150.0
37,"['Positif et enjoué', 'Énergique et intense']",1,2,2,"['Motivation', 'Détente', 'Concentration']","['Travail / études', 'Trajet', 'Lecture / écriture', 'Détente']",3,2,3,3,3,0,4.5,150.0
38,"['Surprenez-moi', 'Positif et enjoué']",1,2,0,"['Détente', 'Motivation', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis', 'Sport']",1,1,3,3,1,2,2.0,150.0
39,"['Mélancolique', 'Positif et enjoué']",1,0,0,"['Détente', 'Motivation', 'Danse']","['Sport', 'Trajet', 'Détente', 'Jeu vidéo']",1,1,3,3,3,1,4.5,150.0
40,"['Positif et enjoué', 'Calme et doux']",0,0,0,['Motivation'],['A domicile'],3,1,3,3,3,-1,4.5,45.0
41,"['Pour bouger', 'Festif / soirée', 'Calme et doux']",1,2,2,['Motivation'],"['Sport', 'Trajet', 'Soirée entre amis']",3,1,2,1,2,2,4.5,45.0
42,['Énergique et intense'],1,2,1,"['Détente', 'Concentration', 'Motivation']","['Trajet', 'Lecture / écriture', 'Travail / études']",3,1,3,1,3,2,2.0,45.0
43,"['Pour bouger', 'Festif / soirée', 'Concentration / flow']",0,2,0,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Sport', 'Soirée entre amis']",3,2,2,3,3,2,4.5,150.0
44,"['Positif et enjoué', 'Calme et doux', 'Énergique et intense']",1,2,0,"['Détente', 'Motivation']","['Trajet', 'Détente', 'Soirée entre amis']",3,1,2,3,2,0,4.5,45.0
45,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,2,"['Motivation', 'Danse']","['Trajet', 'Sport', 'Soirée entre amis']",3,2,2,1,3,2,2.0,30.0
46,"['Positif et enjoué', 'Festif / soirée', 'Calme et doux']",2,0,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",3,1,2,2,3,0,4.5,45.0
47,"['Festif / soirée', 'Pour bouger']",0,2,2,['Motivation'],"['Trajet', 'Soirée entre amis', 'Ménage']",3,2,2,2,2,0,4.5,30.0
48,nan,1,2,1,"['Détente', 'Motivation', 'Danse']","['Jeu vidéo', 'Trajet', 'Soirée entre amis']",3,1,3,1,3,1,4.5,150.0
49,"['Calme et doux', 'Pour bouger']",1,0,0,['Détente'],"['Détente', 'Soirée entre amis']",3,2,2,2,2,0,2.0,30.0
50,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,0,"['Détente', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis']",1,1,2,2,2,1,2.0,30.0
51,"['Calme et doux', 'Festif / soirée', 'Mélancolique']",0,2,0,"['Détente', 'Concentration', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis']",2,1,2,3,3,1,4.5,150.0
52,"['Énergique et intense', 'Festif / soirée', 'Positif et enjoué']",2,2,2,"['Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Soirée entre amis']",1,1,2,3,2,2,4.5,240.0
53,['Concentration / flow'],0,0,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Soirée entre amis', 'Trajet', 'Détente']",1,1,3,3,3,2,4.5,150.0
54,"['Énergique et intense', 'Pour bouger', 'Positif et enjoué']",2,2,0,"['Motivation', 'Détente']","['Trajet', 'Détente']",3,1,3,3,3,2,4.5,150.0
55,"['Festif / soirée', 'Énergique et intense', 'Positif et enjoué']",1,2,1,"['Danse', 'Motivation']","['Trajet', 'Soirée entre amis']",3,1,3,3,3,1,4.5,45.0
56,['Pour bouger'],2,0,1,['Motivation'],"['Travail / études', 'Sport', 'Trajet']",3,1,3,3,2,0,4.5,240.0
57,['Calme et doux'],0,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",1,1,2,1,2,1,4.5,150.0
58,"['Calme et doux', 'Mélancolique', 'Surprenez-moi']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Sport']",0,1,3,3,3,1,4.5,150.0
59,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,2,"['Détente', 'Motivation', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis', 'Sport']",3,1,1,3,3,2,4.5,150.0
60,"['Festif / soirée', 'Énergique et intense', 'Pour bouger']",2,2,2,"['Danse', 'Concentration', 'Détente']","['Détente', 'Travail / études']",3,1,0,0,0,-2,4.5,45.0
61,"['Calme et doux', 'Festif / soirée', 'Positif et enjoué']",0,2,2,"['Détente', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",3,1,2,2,2,1,2.0,150.0
62,"['Pour bouger', 'Calme et doux', 'Festif / soirée']",1,2,2,"['Concentration', 'Détente', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis']",1,1,3,2,3,0,2.0,240.0
63,"['Énergique et intense', 'Calme et doux', 'Concentration / flow']",1,2,1,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",0,1,3,3,3,0,4.5,150.0
64,"['Calme et doux', 'Positif et enjoué', 'Concentration / flow']",1,2,1,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Jeu vidéo']",1,1,3,1,3,2,4.5,150.0
65,"['Festif / soirée', 'Positif et enjoué']",1,2,0,['Détente'],"['Trajet', 'Détente', 'Combler le vide']",3,1,2,2,2,1,4.5,45.0
66,"['Pour bouger', 'Concentration / flow']",0,2,1,"['Concentration', 'Motivation']","['Travail / études', 'Sport', 'Trajet']",3,1,2,3,3,1,2.0,150.0
67,['Positif et enjoué'],1,0,2,"['Motivation', 'Détente']","['Travail / études', 'Détente']",1,1,2,1,2,0,6.0,45.0
68,['Calme et doux'],1,0,0,['Détente'],['Détente'],3,1,1,0,2,-2,4.5,30.0
69,"['Calme et doux', 'Concentration / flow', 'Mélancolique']",1,2,0,"['Détente', 'Concentration']","['Travail / études', 'Détente']",1,1,2,2,3,1,2.0,150.0
70,['Positif et enjoué'],1,0,0,['Motivation'],"['Pour se motiver', 'Détente']",3,1,2,2,3,1,4.5,30.0
71,"['Mélancolique', 'Concentration / flow']",0,1,2,"['Concentration', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Détente']",2,1,0,3,3,2,6.0,240.0
72,"['Positif et enjoué', 'Concentration / flow', 'Festif / soirée']",0,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Détente']",3,1,3,1,3,2,4.5,150.0
73,"['Positif et enjoué', 'Festif / soirée', 'Calme et doux']",0,1,0,"['Détente', 'Motivation', 'Danse']","['Soirée entre amis', 'Détente']",3,1,2,2,3,0,4.5,45.0
74,['Mélancolique'],1,2,2,['Détente'],"['Trajet', 'Sport']",1,1,2,2,3,-1,2.0,45.0
75,['Surprenez-moi'],0,0,1,['Motivation'],['Trajet'],3,1,2,1,2,0,4.5,45.0
76,"['Festif / soirée', 'Énergique et intense', 'Positif et enjoué']",0,2,1,"['Motivation', 'Détente', 'Danse']","['Jeu vidéo', 'Trajet', 'Détente']",3,1,3,2,3,2,2.0,150.0
77,"['Énergique et intense', 'Pour bouger', 'Mélancolique']",0,2,1,"['Danse', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",1,1,3,2,1,2,6.0,150.0
78,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,0,0,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Détente']",1,1,2,2,2,0,4.5,45.0
80,"['Pour bouger', 'Positif et enjoué', 'Énergique et intense']",2,2,0,"['Motivation', 'Détente']","['Trajet', 'Détente', 'Soirée entre amis']",3,1,3,3,3,1,4.5,150.0
81,['Positif et enjoué'],1,0,2,['Détente'],"['Détente', 'Trajet']",1,1,2,2,3,2,4.5,150.0
82,"['Concentration / flow', 'Festif / soirée', 'Surprenez-moi']",0,0,0,"['Concentration', 'Détente']","['Travail / études', 'Trajet']",1,1,3,2,2,2,4.5,240.0
83,"['Calme et doux', 'Concentration / flow', 'Surprenez-moi']",0,0,0,"['Détente', 'Concentration']",['Travail / études'],1,1,3,2,2,2,4.5,240.0
84,"['Positif et enjoué', 'Calme et doux', 'Festif / soirée']",2,0,2,"['Motivation', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",1,2,2,2,2,0,2.0,45.0
85,['Énergique et intense'],1,0,0,"['Motivation', 'Détente', 'Danse']","['Détente', 'Sport']",1,1,2,3,2,0,2.0,45.0
86,['Énergique et intense'],0,0,2,"['Détente', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",1,1,3,3,2,-1,4.5,150.0
87,"['Pour bouger', 'Festif / soirée', 'Concentration / flow']",1,0,2,"['Concentration', 'Motivation', 'Danse']","['Sport', 'Soirée entre amis', 'Jeu vidéo', 'Travail / études']",3,2,2,1,2,1,2.0,45.0
88,"['Concentration / flow', 'Surprenez-moi', 'Énergique et intense']",2,0,1,"['Motivation', 'Danse', 'Concentration']","['Travail / études', 'Trajet', 'Soirée entre amis']",3,1,3,3,3,1,4.5,150.0
89,nan,1,2,0,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Trajet', 'Soirée entre amis']",1,1,1,2,2,0,2.0,150.0
90,"['Calme et doux', 'Pour bouger', 'Positif et enjoué']",0,2,2,['Motivation'],"['Sport', 'Trajet']",1,1,3,2,2,2,4.5,30.0
91,"['Pour bouger', 'Concentration / flow', 'Énergique et intense']",1,2,2,"['Détente', 'Danse', 'Motivation']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",3,2,1,1,3,2,4.5,150.0
92,"['Pour bouger', 'Concentration / flow', 'Énergique et intense']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Trajet', 'Travail / études', 'Sport', 'Lecture / écriture']",0,1,2,2,1,1,4.5,150.0
93,"['Pour bouger', 'Calme et doux', 'Énergique et intense']",1,2,2,"['Danse', 'Détente', 'Motivation']","['Sport', 'Détente', 'Soirée entre amis']",1,1,3,1,3,1,4.5,30.0
94,"['Festif / soirée', 'Énergique et intense', 'Surprenez-moi']",1,0,1,"['Concentration', 'Danse', 'Détente']","['Trajet', 'Soirée entre amis', 'Jeu vidéo', 'Travail / études']",3,1,2,3,3,0,6.0,150.0
95,"['Concentration / flow', 'Positif et enjoué', 'Calme et doux']",1,0,0,['Détente'],"['Trajet', 'Détente', 'Jeu vidéo', 'Travail / études']",3,1,3,1,3,0,6.0,150.0
96,"['Concentration / flow', 'Énergique et intense', 'Surprenez-moi']",0,2,0,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Lecture / écriture', 'All of the above']",3,1,3,1,3,0,4.5,240.0
97,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Motivation', 'Danse', 'Détente']","['Sport', 'Soirée entre amis', 'Trajet', 'Détente']",1,2,2,1,3,1,4.5,45.0
98,"['Calme et doux', 'Positif et enjoué', 'Pour bouger']",2,1,0,"['Motivation', 'Danse', 'Détente']","['Trajet', 'Soirée entre amis', 'Sport']",3,2,3,3,3,2,4.5,30.0
99,"['Positif et enjoué', 'Festif / soirée', 'Énergique et intense']",1,2,2,"['Motivation', 'Danse', 'Détente']","['Sport', 'Trajet', 'Détente', 'Soirée entre amis']",1,2,3,3,3,2,6.0,150.0
100,"['Calme et doux', 'Concentration / flow']",1,2,0,"['Concentration', 'Motivation']",['Travail / études'],1,1,1,0,3,1,4.5,30.0
101,"['Énergique et intense', 'Surprenez-moi', 'Pour bouger']",1,0,2,"['Détente', 'Motivation', 'Danse']","['Sport', 'Trajet', 'Détente', 'Soirée entre amis']",3,1,3,3,2,2,4.5,45.0
102,"['Calme et doux', 'Concentration / flow', 'Énergique et intense']",0,2,2,"['Motivation', 'Concentration', 'Détente']","['Détente', 'quand je ne me sens pas bien']",3,1,2,0,3,1,4.5,30.0
103,"['Positif et enjoué', 'Énergique et intense', 'Festif / soirée']",1,0,2,"['Détente', 'Motivation', 'Danse']","['Trajet', 'Soirée entre amis']",3,1,2,2,1,0,6.0,45.0
