user_profile_id,music_envy_today,feeling,music_preference,music_style_preference,music_reason,listening_context,current_music_type,usual_listening_mode,likes_discovery,attend_live_concert,repeat_listening,explicit_ok,avg_song_length,avg_daily_listen_time,recommended_artists
30,"['Calme et doux', 'Pour bouger', 'Énergique et intense']",1,0,2,"['Concentration', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Jeu vidéo']",1,1,2,1,3,2,4.5,150.0,"['yoasobi', 'idol', 'togenashi', 'togeari', 'bleeding', 'hearts', 'official', 'hige', 'dandism', 'urami', 'tsurami', 'kiwami', 'kana', 'hanazawa', 'happy', 'endings', 'bump', 'of', 'chicken', 'acacia', 'lena', 'raine', 'farewell', 'toby', 'fox', 'it', 's', 'tv', 'time', 'nao', 'touyama', 'ima', 'koko']"
31,"['Calme et doux', 'Mélancolique', 'Positif et enjoué']",0,0,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente', 'Soirée entre amis']",2,1,2,1,2,0,2.0,150.0,nan
32,"['Pour bouger', 'Mélancolique', 'Positif et enjoué']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Détente', 'Soirée entre amis']",1,1,3,1,2,0,2.0,150.0,nan
33,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,0,2,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Détente', 'Tâche ménagère ou cuisine']",3,1,2,2,3,2,2.0,45.0,nan
34,"['Positif et enjoué', 'Concentration / flow', 'Calme et doux']",1,0,2,"['Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Lecture / écriture']",1,1,3,1,3,1,4.5,240.0,"['muse', 'twenty', 'one', 'pilots', 'she', 'wants', 'revenge']"
35,"['Festif / soirée', 'Positif et enjoué', 'Mélancolique']",2,2,0,"['Détente', 'Motivation', 'Concentration']","['Trajet', 'Détente', 'Lecture / écriture']",3,1,3,1,3,0,4.5,30.0,nan
36,"['Positif et enjoué', 'Énergique et intense']",2,0,2,['Motivation'],"['Détente', 'Lecture / écriture', 'Trajet']",3,2,2,3,3,0,4.5,150.0,"['hoshi', 'naaman']"
37,"['Positif et enjoué', 'Énergique et intense']",1,2,2,"['Motivation', 'Détente', 'Concentration']","['Travail / études', 'Trajet', 'Lecture / écriture', 'Détente']",3,2,3,3,3,0,4.5,150.0,nan
38,"['Surprenez-moi', 'Positif et enjoué']",1,2,0,"['Détente', 'Motivation', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis', 'Sport']",1,1,3,3,1,2,2.0,150.0,"['earth', 'wrecked']"
39,"['Mélancolique', 'Positif et enjoué']",1,0,0,"['Détente', 'Motivation', 'Danse']","['Sport', 'Trajet', 'Détente', 'Jeu vidéo']",1,1,3,3,3,1,4.5,150.0,"['parcels', 'sombr', 'gracie', 'abrams', 'phoenix', 'franck', 'ocean', 'lana', 'del', 'rey', 'taylor', 'swift', 'coldplay']"
40,"['Positif et enjoué', 'Calme et doux']",0,0,0,['Motivation'],['A domicile'],3,1,3,3,3,-1,4.5,45.0,"['feu', 'chatterton', 'j', 'balvin', 'eagles', 'inti', 'illimani']"
41,"['Pour bouger', 'Festif / soirée', 'Calme et doux']",1,2,2,['Motivation'],"['Sport', 'Trajet', 'Soirée entre amis']",3,1,2,1,2,2,4.5,45.0,"['stromae', 'tsew', 'the', 'kid']"
42,['Énergique et intense'],1,2,1,"['Détente', 'Concentration', 'Motivation']","['Trajet', 'Lecture / écriture', 'Travail / études']",3,1,3,1,3,2,2.0,45.0,"['stromae', 'twenty', 'one', 'pilots', 'maneskin', 'les', 'musiques', 'arcane']"
43,"['Pour bouger', 'Festif / soirée', 'Concentration / flow']",0,2,0,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Sport', 'Soirée entre amis']",3,2,2,3,3,2,4.5,150.0,nan
44,"['Positif et enjoué', 'Calme et doux', 'Énergique et intense']",1,2,0,"['Détente', 'Motivation']","['Trajet', 'Détente', 'Soirée entre amis']",3,1,2,3,2,0,4.5,45.0,nan
45,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,2,"['Motivation', 'Danse']","['Trajet', 'Sport', 'Soirée entre amis']",3,2,2,1,3,2,2.0,30.0,"['indochine', 'et', 'the', 'queen']"
46,"['Positif et enjoué', 'Festif / soirée', 'Calme et doux']",2,0,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",3,1,2,2,3,0,4.5,45.0,"['ludovico', 'einaudi', 'the', 'blaze']"
47,"['Festif / soirée', 'Pour bouger']",0,2,2,['Motivation'],"['Trajet', 'Soirée entre amis', 'Ménage']",3,2,2,2,2,0,4.5,30.0,"['u2', 'lionel', 'ritchie', 'madonna', 'prince']"
48,nan,1,2,1,"['Détente', 'Motivation', 'Danse']","['Jeu vidéo', 'Trajet', 'Soirée entre amis']",3,1,3,1,3,1,4.5,150.0,"['strategy', 'de', 'twice']"
49,"['Calme et doux', 'Pour bouger']",1,0,0,['Détente'],"['Détente', 'Soirée entre amis']",3,2,2,2,2,0,2.0,30.0,nan
50,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,0,"['Détente', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis']",1,1,2,2,2,1,2.0,30.0,nan
51,"['Calme et doux', 'Festif / soirée', 'Mélancolique']",0,2,0,"['Détente', 'Concentration', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis']",2,1,2,3,3,1,4.5,150.0,"['eagles', 'beatles', 'stéréophonics', 'oasis', 'sam', 'smith']"
52,"['Énergique et intense', 'Festif / soirée', 'Positif et enjoué']",2,2,2,"['Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Soirée entre amis']",1,1,2,3,2,2,4.5,240.0,"['dub', 'inc', 'rohff', 'lacrim']"
53,['Concentration / flow'],0,0,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Soirée entre amis', 'Trajet', 'Détente']",1,1,3,3,3,2,4.5,150.0,nan
54,"['Énergique et intense', 'Pour bouger', 'Positif et enjoué']",2,2,0,"['Motivation', 'Détente']","['Trajet', 'Détente']",3,1,3,3,3,2,4.5,150.0,"['muse', 'benson', 'boone', 'damiano', 'david']"
55,"['Festif / soirée', 'Énergique et intense', 'Positif et enjoué']",1,2,1,"['Danse', 'Motivation']","['Trajet', 'Soirée entre amis']",3,1,3,3,3,1,4.5,45.0,nan
56,['Pour bouger'],2,0,1,['Motivation'],"['Travail / études', 'Sport', 'Trajet']",3,1,3,3,2,0,4.5,240.0,"['dub', 'inc', 'drapeau', 'luiza', 'oxala', 'gojira', 'mea', 'culpa']"
57,['Calme et doux'],0,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",1,1,2,1,2,1,4.5,150.0,"['viva', 'la', 'vidange', 'coldplay']"
58,"['Calme et doux', 'Mélancolique', 'Surprenez-moi']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Sport']",0,1,3,3,3,1,4.5,150.0,nan
59,"['Pour bouger', 'Positif et enjoué', 'Festif / soirée']",1,2,2,"['Détente', 'Motivation', 'Danse']","['Trajet', 'Détente', 'Soirée entre amis', 'Sport']",3,1,1,3,3,2,4.5,150.0,"['damso', 'laylow', 'columbine', 'année', '80', 'tendance', 'en', '2010', '15']"
60,"['Festif / soirée', 'Énergique et intense', 'Pour bouger']",2,2,2,"['Danse', 'Concentration', 'Détente']","['Détente', 'Travail / études']",3,1,0,0,0,-2,4.5,45.0,nan
61,"['Calme et doux', 'Festif / soirée', 'Positif et enjoué']",0,2,2,"['Détente', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",3,1,2,2,2,1,2.0,150.0,nan
62,"['Pour bouger', 'Calme et doux', 'Festif / soirée']",1,2,2,"['Concentration', 'Détente', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis']",1,1,3,2,3,0,2.0,240.0,nan
63,"['Énergique et intense', 'Calme et doux', 'Concentration / flow']",1,2,1,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",0,1,3,3,3,0,4.5,150.0,nan
64,"['Calme et doux', 'Positif et enjoué', 'Concentration / flow']",1,2,1,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Jeu vidéo']",1,1,3,1,3,2,4.5,150.0,nan
65,"['Festif / soirée', 'Positif et enjoué']",1,2,0,['Détente'],"['Trajet', 'Détente', 'Combler le vide']",3,1,2,2,2,1,4.5,45.0,"['grégoire', 'vivre', 'toi', 'moi']"
66,"['Pour bouger', 'Concentration / flow']",0,2,1,"['Concentration', 'Motivation']","['Travail / études', 'Sport', 'Trajet']",3,1,2,3,3,1,2.0,150.0,"['thylacine', 'paul', 'kalkbrenner']"
67,['Positif et enjoué'],1,0,2,"['Motivation', 'Détente']","['Travail / études', 'Détente']",1,1,2,1,2,0,6.0,45.0,"['percy', 'sledge']"
68,['Calme et doux'],1,0,0,['Détente'],['Détente'],3,1,1,0,2,-2,4.5,30.0,nan
69,"['Calme et doux', 'Concentration / flow', 'Mélancolique']",1,2,0,"['Détente', 'Concentration']","['Travail / études', 'Détente']",1,1,2,2,3,1,2.0,150.0,"['janie', 'barbara', 'pravi', 'les', 'cowboys', 'fringants', 'julien', 'lieb', 'feu', 'chatterton', 'cobalt', 'indochine', 'francis', 'cabrel', 'vianney', 'ours', 'julien', 'doré', 'céline', 'dion', 'clara', 'luciani']"
70,['Positif et enjoué'],1,0,0,['Motivation'],"['Pour se motiver', 'Détente']",3,1,2,2,3,1,4.5,30.0,nan
71,"['Mélancolique', 'Concentration / flow']",0,1,2,"['Concentration', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Détente']",2,1,0,3,3,2,6.0,240.0,"['murray', 'head', 'say', 'it', 'ain', 't', 'so', 'orange', 'blossom', 'maria', 'davodka', 'anesthésie', 'vocala']"
72,"['Positif et enjoué', 'Concentration / flow', 'Festif / soirée']",0,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Détente']",3,1,3,1,3,2,4.5,150.0,nan
73,"['Positif et enjoué', 'Festif / soirée', 'Calme et doux']",0,1,0,"['Détente', 'Motivation', 'Danse']","['Soirée entre amis', 'Détente']",3,1,2,2,3,0,4.5,45.0,"['julien', 'doré', 'naïve', 'new', 'beaters']"
74,['Mélancolique'],1,2,2,['Détente'],"['Trajet', 'Sport']",1,1,2,2,3,-1,2.0,45.0,"['hallelujia', 'de', 'vianney']"
75,['Surprenez-moi'],0,0,1,['Motivation'],['Trajet'],3,1,2,1,2,0,4.5,45.0,"['je', 'sais', 'pas']"
76,"['Festif / soirée', 'Énergique et intense', 'Positif et enjoué']",0,2,1,"['Motivation', 'Détente', 'Danse']","['Jeu vidéo', 'Trajet', 'Détente']",3,1,3,2,3,2,2.0,150.0,"['chase', 'atlantic', 'sabrina', 'carpenter', 'odetari', 'the', 'weeknd', 'ariana', 'grande']"
77,"['Énergique et intense', 'Pour bouger', 'Mélancolique']",0,2,1,"['Danse', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",1,1,3,2,1,2,6.0,150.0,nan
78,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,0,0,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Détente']",1,1,2,2,2,0,4.5,45.0,nan
79,"['Pour bouger', 'Positif et enjoué', 'Énergique et intense']",2,2,0,"['Motivation', 'Détente']","['Trajet', 'Détente', 'Soirée entre amis']",3,1,3,3,3,1,4.5,150.0,['izia']
80,['Positif et enjoué'],1,0,2,['Détente'],"['Détente', 'Trajet']",1,1,2,2,3,2,4.5,150.0,"['pink', 'floyd', 'archive', 'saez', 'king', 'of', 'leon', 'the', 'xx', 'led', 'zep']"
81,"['Concentration / flow', 'Festif / soirée', 'Surprenez-moi']",0,0,0,"['Concentration', 'Détente']","['Travail / études', 'Trajet']",1,1,3,2,2,2,4.5,240.0,nan
82,"['Calme et doux', 'Concentration / flow', 'Surprenez-moi']",0,0,0,"['Détente', 'Concentration']",['Travail / études'],1,1,3,2,2,2,4.5,240.0,nan
83,"['Positif et enjoué', 'Calme et doux', 'Festif / soirée']",2,0,2,"['Motivation', 'Détente']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",1,2,2,2,2,0,2.0,45.0,nan
84,['Énergique et intense'],1,0,0,"['Motivation', 'Détente', 'Danse']","['Détente', 'Sport']",1,1,2,3,2,0,2.0,45.0,nan
85,['Énergique et intense'],0,0,2,"['Détente', 'Motivation']","['Travail / études', 'Trajet', 'Détente']",1,1,3,3,2,-1,4.5,150.0,"['placebo', 'rammstein', 'porcupine', 'tree']"
86,"['Pour bouger', 'Festif / soirée', 'Concentration / flow']",1,0,2,"['Concentration', 'Motivation', 'Danse']","['Sport', 'Soirée entre amis', 'Jeu vidéo', 'Travail / études']",3,2,2,1,2,1,2.0,45.0,"['imagine', 'dragon', 'evanescence', 'avril', 'lavigne', 'ft', 'island', 'kpop', 'demon', 'hunter', 'gold']"
87,"['Concentration / flow', 'Surprenez-moi', 'Énergique et intense']",2,0,1,"['Motivation', 'Danse', 'Concentration']","['Travail / études', 'Trajet', 'Soirée entre amis']",3,1,3,3,3,1,4.5,150.0,"['bernhoft', 'parcels', 'solann', 'jordan', 'rakei', 'gogo', 'penguin', 'siames', 'nao', 'm83', 'charlotte', 'cardin', 'dominic', 'fike', 'tom', 'misch']"
88,nan,1,2,0,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Trajet', 'Soirée entre amis']",1,1,1,2,2,0,2.0,150.0,nan
89,"['Calme et doux', 'Pour bouger', 'Positif et enjoué']",0,2,2,['Motivation'],"['Sport', 'Trajet']",1,1,3,2,2,2,4.5,30.0,"['pas', 'forcément', 'd', 'artistes', 'plus', 'des', 'playlists', 'sur', 'les', 'plateformes']"
90,"['Pour bouger', 'Concentration / flow', 'Énergique et intense']",1,2,2,"['Détente', 'Danse', 'Motivation']","['Travail / études', 'Trajet', 'Soirée entre amis', 'Détente']",3,2,1,1,3,2,4.5,150.0,nan
91,"['Pour bouger', 'Concentration / flow', 'Énergique et intense']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Trajet', 'Travail / études', 'Sport', 'Lecture / écriture']",0,1,2,2,1,1,4.5,150.0,"['twenty', 'one', 'pilots', 'stressed', 'out', 'twenty', 'one', 'pilots', 'holding', 'on', 'to', 'you', 'twenty', 'one', 'pilots', 'nf', 'the', 'search', 'nf', 'therapy', 'session']"
92,"['Pour bouger', 'Calme et doux', 'Énergique et intense']",1,2,2,"['Danse', 'Détente', 'Motivation']","['Sport', 'Détente', 'Soirée entre amis']",1,1,3,1,3,1,4.5,30.0,nan
93,"['Festif / soirée', 'Énergique et intense', 'Surprenez-moi']",1,0,1,"['Concentration', 'Danse', 'Détente']","['Trajet', 'Soirée entre amis', 'Jeu vidéo', 'Travail / études']",3,1,2,3,3,0,6.0,150.0,nan
94,"['Concentration / flow', 'Positif et enjoué', 'Calme et doux']",1,0,0,['Détente'],"['Trajet', 'Détente', 'Jeu vidéo', 'Travail / études']",3,1,3,1,3,0,6.0,150.0,nan
95,"['Concentration / flow', 'Énergique et intense', 'Surprenez-moi']",0,2,0,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Trajet', 'Lecture / écriture', 'All of the above']",3,1,3,1,3,0,4.5,240.0,nan
96,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Motivation', 'Danse', 'Détente']","['Sport', 'Soirée entre amis', 'Trajet', 'Détente']",1,2,2,1,3,1,4.5,45.0,nan
97,"['Calme et doux', 'Positif et enjoué', 'Pour bouger']",2,1,0,"['Motivation', 'Danse', 'Détente']","['Trajet', 'Soirée entre amis', 'Sport']",3,2,3,3,3,2,4.5,30.0,nan
98,"['Positif et enjoué', 'Festif / soirée', 'Énergique et intense']",1,2,2,"['Motivation', 'Danse', 'Détente']","['Sport', 'Trajet', 'Détente', 'Soirée entre amis']",1,2,3,3,3,2,6.0,150.0,nan
99,"['Calme et doux', 'Concentration / flow']",1,2,0,"['Concentration', 'Motivation']",['Travail / études'],1,1,1,0,3,1,4.5,30.0,"['in', 'the', 'end', 'linkin', 'park', 'nothing', 'else', 'matters', 'metallica', 'spiders', 'web', 'katie', 'melua']"
100,"['Énergique et intense', 'Surprenez-moi', 'Pour bouger']",1,0,2,"['Détente', 'Motivation', 'Danse']","['Sport', 'Trajet', 'Détente', 'Soirée entre amis']",3,1,3,3,2,2,4.5,45.0,"['la', 'musique', 'bruits', 'sons', 'de', 'la', 'nature']"
